year,weight,industry,industry_size,firm_size,it_org_any,it_org_internal,it_org_mixed,it_org_outsource,it_org_type,it_invest_share_std4,it_invest_share_pct,ai_use,proc_improve,innov_outcome,decision_improve,weight_raw,industry_raw,industry_size_raw,firm_size_raw,it_org_any_raw,it_org_internal_raw,it_org_mixed_raw,it_org_outsource_raw,it_invest_share_raw,it_invest_share_cat_raw,ai_use_raw,proc_improve_raw,decision_improve_raw,innov_outcome_raw
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,3,4,8.483470365,2,22,2,1,1,0,0,1,1,2,5,4,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,5,4,8.483470365,2,22,2,2,,,,1,1,2,3,4,5
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,3,3,8.483470365,2,22,2,2,,,,1,1,3,3,3,3
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,3,3,3,8.483470365,2,22,2,1,1,0,0,1,1,2,3,3,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,5,4,4,8.483470365,2,22,2,2,,,,1,1,2,5,4,4
2022,8.483470365,2,22,2,1,1,0,0,1,3,5.0,0,4,4,4,8.483470365,2,22,2,1,1,0,0,5,3,2,4,4,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,4,4,4,8.483470365,2,22,2,1,1,0,0,1,1,2,4,4,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,4,4,8.483470365,2,22,2,2,,,,1,1,2,3,4,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,4,3,8.483470365,2,22,2,2,,,,1,1,2,3,3,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,5,4,4,8.483470365,2,22,2,2,,,,1,1,2,5,4,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,4,3,8.483470365,2,22,2,2,,,,1,1,3,3,3,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,3,4,8.483470365,2,22,2,2,,,,1,1,3,3,4,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,5,3,3,8.483470365,2,22,2,2,,,,1,1,3,5,3,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,4,4,8.483470365,2,22,2,2,,,,1,1,2,3,4,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,3,4,3,8.483470365,2,22,2,1,1,0,0,1,1,3,3,3,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,1,4,3,3,8.483470365,2,22,2,2,,,,1,1,1,4,3,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,4,3,4,8.483470365,2,22,2,2,,,,1,1,3,4,4,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,5,3,3,8.483470365,2,22,2,2,,,,1,1,3,5,3,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,4,4,8.483470365,2,22,2,2,,,,1,1,3,3,4,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,4,4,3,8.483470365,2,22,2,2,,,,1,1,3,4,3,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,1,3,3,4,8.483470365,2,22,2,1,1,0,0,1,1,1,3,4,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,1,4,4,4,8.483470365,2,22,2,2,,,,1,1,1,4,4,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,4,4,8.483470365,2,22,2,2,,,,1,1,2,3,4,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,4,3,3,8.483470365,2,22,2,1,1,0,0,1,1,3,4,3,3
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,1,3,3,3,8.483470365,2,22,2,1,1,0,0,1,1,1,3,3,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,5,4,8.483470365,2,22,2,2,,,,1,1,3,3,4,5
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,4,3,8.483470365,2,22,2,2,,,,1,1,2,3,3,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,5,5,8.483470365,2,22,2,1,1,0,0,1,1,2,5,5,5
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,5,5,5,8.483470365,2,22,2,2,,,,1,1,2,5,5,5
2022,8.483470365,2,22,2,1,0,0,1,3,1,1.0,0,5,5,5,8.483470365,2,22,2,1,0,0,1,1,1,2,5,5,5
2022,8.483470365,2,22,2,1,1,0,0,1,3,5.0,0,5,4,3,8.483470365,2,22,2,1,1,0,0,5,3,2,5,3,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,4,5,4,8.483470365,2,22,2,1,1,0,0,1,1,2,4,4,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,5,5,8.483470365,2,22,2,1,1,0,0,1,1,2,5,5,5
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,5,5,4,8.483470365,2,22,2,2,,,,1,1,2,5,4,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,5,5,8.483470365,2,22,2,1,1,0,0,1,1,2,5,5,5
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,5,5,5,8.483470365,2,22,2,2,,,,1,1,2,5,5,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,5,4,8.483470365,2,22,2,1,1,0,0,1,1,2,5,4,5
2022,8.483470365,2,22,2,1,0,0,1,3,1,1.0,0,4,5,4,8.483470365,2,22,2,1,0,0,1,1,1,2,4,4,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,5,5,8.483470365,2,22,2,1,1,0,0,1,1,2,5,5,5
2022,8.483470365,2,22,2,1,0,0,1,3,1,1.0,0,3,3,3,8.483470365,2,22,2,1,0,0,1,1,1,2,3,3,3
2022,8.483470365,2,22,2,1,0,0,1,3,1,1.0,1,5,5,5,8.483470365,2,22,2,1,0,0,1,1,1,1,5,5,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,1,5,5,5,8.483470365,2,22,2,1,1,0,0,1,1,1,5,5,5
2022,8.483470365,2,22,2,1,0,1,0,2,1,1.0,0,3,3,3,8.483470365,2,22,2,1,0,1,0,1,1,2,3,3,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,2,3,8.483470365,2,22,2,2,,,,1,1,2,3,3,2
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,5,5,8.483470365,2,22,2,1,1,0,0,1,1,2,5,5,5
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,1,5,4,4,8.483470365,2,22,2,2,,,,1,1,1,5,4,4
2022,8.483470365,2,22,2,1,0,0,1,3,1,1.0,1,3,3,3,8.483470365,2,22,2,1,0,0,1,1,1,1,3,3,3
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,4,4,8.483470365,2,22,2,1,1,0,0,1,1,2,5,4,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,1,5,5,5,8.483470365,2,22,2,1,1,0,0,1,1,1,5,5,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,3,4,3,8.483470365,2,22,2,1,1,0,0,1,1,2,3,3,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,1,3,3,3,8.483470365,2,22,2,1,1,0,0,1,1,1,3,3,3
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,5,5,5,8.483470365,2,22,2,1,1,0,0,1,1,2,5,5,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,4,4,4,8.483470365,2,22,2,1,1,0,0,1,1,2,4,4,4
2022,8.483470365,2,22,2,1,1,0,0,1,3,5.0,0,5,5,5,8.483470365,2,22,2,1,1,0,0,5,3,2,5,5,5
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,5,5,5,8.483470365,2,22,2,2,,,,1,1,2,5,5,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,1,4,4,4,8.483470365,2,22,2,1,1,0,0,1,1,1,4,4,4
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,3,3,3,8.483470365,2,22,2,1,1,0,0,1,1,2,3,3,3
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,3,3,3,8.483470365,2,22,2,1,1,0,0,1,1,2,3,3,3
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,1,5,5,5,8.483470365,2,22,2,2,,,,1,1,1,5,5,5
2022,8.483470365,2,22,2,1,1,0,0,1,1,1.0,0,4,4,4,8.483470365,2,22,2,1,1,0,0,1,1,2,4,4,4
2022,8.483470365,2,22,2,0,0,0,0,0,1,1.0,0,3,4,3,8.483470365,2,22,2,2,,,,1,1,2,3,3,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,5,5,4,8.400539176,2,22,2,1,0,1,0,1,1,2,5,4,5
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,3,8.400539176,2,22,2,1,0,1,0,1,1,3,4,3,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,5,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,5
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,3,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,3
2022,8.400539176,2,22,2,1,0,1,0,2,2,2.0,0,3,3,4,8.400539176,2,22,2,1,0,1,0,2,2,3,3,4,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.400539176,2,22,2,1,1,0,0,1,3,5.0,0,4,4,4,8.400539176,2,22,2,1,1,0,0,5,3,3,4,4,4
2022,11.03075254,2,22,2,1,0,1,0,2,1,1.0,0,4,4,5,11.03075254,2,22,2,1,0,1,0,1,1,2,4,5,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,5,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,5,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,5,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,5
2022,8.400539176,2,22,2,0,0,0,0,0,1,1.0,0,4,3,5,8.400539176,2,22,2,2,,,,1,1,2,4,5,3
2022,8.400539176,2,22,2,1,0,1,0,2,2,3.0,0,4,3,4,8.400539176,2,22,2,1,0,1,0,3,2,3,4,4,3
2022,11.03075254,2,22,2,1,0,1,0,2,1,1.0,0,3,3,3,11.03075254,2,22,2,1,0,1,0,1,1,3,3,3,3
2022,8.400539176,2,22,2,1,0,1,0,2,2,2.0,0,3,3,3,8.400539176,2,22,2,1,0,1,0,2,2,3,3,3,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,3,3,8.400539176,2,22,2,1,0,1,0,1,1,2,4,3,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,3,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,3
2022,8.400539176,2,22,2,0,0,0,0,0,1,1.0,0,4,3,3,8.400539176,2,22,2,2,,,,1,1,2,4,3,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,3,8.400539176,2,22,2,1,0,1,0,1,1,2,4,3,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,3,4,5,8.400539176,2,22,2,1,0,1,0,1,1,2,3,5,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,3,3,8.400539176,2,22,2,1,0,1,0,1,1,2,4,3,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,5,4,5,8.400539176,2,22,2,1,0,1,0,1,1,2,5,5,4
2022,8.400539176,2,22,2,1,0,1,0,2,2,3.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,3,2,2,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,2,2.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,2,2,3,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,3,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,3,4,4
2022,8.400539176,2,22,2,1,0,0,1,3,1,1.0,0,4,5,4,8.400539176,2,22,2,1,0,0,1,1,1,2,4,4,5
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,3,3,8.400539176,2,22,2,1,0,1,0,1,1,2,4,3,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,5,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,5,4,4
2022,11.03075254,2,22,2,1,0,1,0,2,1,1.0,0,4,4,3,11.03075254,2,22,2,1,0,1,0,1,1,2,4,3,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,5,5,5,8.400539176,2,22,2,1,0,1,0,1,1,2,5,5,5
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,3,2,8.400539176,2,22,2,1,0,1,0,1,1,2,4,2,3
2022,8.400539176,2,22,2,1,0,1,0,2,2,2.0,0,3,4,3,8.400539176,2,22,2,1,0,1,0,2,2,3,3,3,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,3,8.400539176,2,22,2,1,0,1,0,1,1,2,4,3,4
2022,8.400539176,2,22,2,1,0,1,0,2,3,6.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,6,3,2,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,3,3,4,8.400539176,2,22,2,1,0,1,0,1,1,3,3,4,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,3,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,5,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,5,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,5,5,4,8.400539176,2,22,2,1,0,1,0,1,1,2,5,4,5
2022,8.400539176,2,22,2,1,0,0,1,3,1,1.0,0,4,3,4,8.400539176,2,22,2,1,0,0,1,1,1,2,4,4,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,5,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,5,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,3,3,8.400539176,2,22,2,1,0,1,0,1,1,3,4,3,3
2022,8.400539176,2,22,2,1,0,1,0,2,2,3.0,0,4,5,4,8.400539176,2,22,2,1,0,1,0,3,2,3,4,4,5
2022,8.400539176,2,22,2,1,1,0,0,1,1,1.0,0,5,4,5,8.400539176,2,22,2,1,1,0,0,1,1,2,5,5,4
2022,8.400539176,2,22,2,1,0,1,0,2,2,2.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,2,2,3,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.400539176,2,22,2,1,1,0,0,1,4,10.0,0,4,4,4,8.400539176,2,22,2,1,1,0,0,10,4,3,4,4,4
2022,8.400539176,2,22,2,1,1,0,0,1,1,1.0,0,5,4,4,8.400539176,2,22,2,1,1,0,0,1,1,2,5,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,3,6.0,0,4,3,4,8.400539176,2,22,2,1,0,1,0,6,3,3,4,4,3
2022,8.400539176,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.400539176,2,22,2,1,0,1,0,2,2,3.0,0,4,4,4,8.400539176,2,22,2,1,0,1,0,3,2,3,4,4,4
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,4,4,8.277248864,2,22,2,2,,,,1,1,2,4,4,4
2022,8.277248864,2,22,2,1,0,1,0,2,1,1.0,0,5,3,5,8.277248864,2,22,2,1,0,1,0,1,1,2,5,5,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,5,3,4,8.277248864,2,22,2,1,0,0,1,1,1,3,5,4,3
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,4,3,8.277248864,2,22,2,2,,,,1,1,3,4,3,4
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,4,3,8.277248864,2,22,2,2,,,,1,1,2,4,3,4
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,4,3,8.277248864,2,22,2,1,0,0,1,1,1,2,4,3,4
2022,10.86885996,2,22,2,0,0,0,0,0,1,1.0,0,4,3,4,10.86885996,2,22,2,2,,,,1,1,2,4,4,3
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,4,3,8.277248864,2,22,2,2,,,,1,1,2,4,3,4
2022,8.277248864,2,22,2,1,0,1,0,2,1,1.0,0,5,3,4,8.277248864,2,22,2,1,0,1,0,1,1,2,5,4,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,3,3,3,8.277248864,2,22,2,1,0,0,1,1,1,2,3,3,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,4,4,8.277248864,2,22,2,1,0,0,1,1,1,2,4,4,4
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,4,4,8.277248864,2,22,2,2,,,,1,1,2,4,4,4
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,5,4,3,8.277248864,2,22,2,1,0,0,1,1,1,2,5,3,4
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,3,3,8.277248864,2,22,2,1,0,0,1,1,1,2,4,3,3
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,4,4,8.277248864,2,22,2,2,,,,1,1,2,4,4,4
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,3,4,8.277248864,2,22,2,1,0,0,1,1,1,2,4,4,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,3,4,8.277248864,2,22,2,1,0,0,1,1,1,2,4,4,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,3,4,8.277248864,2,22,2,1,0,0,1,1,1,2,4,4,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,3,5,8.277248864,2,22,2,1,0,0,1,1,1,2,4,5,3
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,3,4,8.277248864,2,22,2,2,,,,1,1,2,4,4,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,5,4,4,8.277248864,2,22,2,1,0,0,1,1,1,2,5,4,4
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,5,3,4,8.277248864,2,22,2,2,,,,1,1,2,5,4,3
2022,10.86885996,2,22,2,0,0,0,0,0,1,1.0,0,5,4,4,10.86885996,2,22,2,2,,,,1,1,2,5,4,4
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,5,4,4,8.277248864,2,22,2,2,,,,1,1,2,5,4,4
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,5,3,4,8.277248864,2,22,2,1,0,0,1,1,1,3,5,4,3
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,3,3,8.277248864,2,22,2,2,,,,1,1,2,4,3,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,5,3,4,8.277248864,2,22,2,1,0,0,1,1,1,2,5,4,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,3,4,8.277248864,2,22,2,1,0,0,1,1,1,2,4,4,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,4,4,4,8.277248864,2,22,2,1,0,0,1,1,1,2,4,4,4
2022,8.277248864,2,22,2,1,0,1,0,2,1,1.0,1,5,3,4,8.277248864,2,22,2,1,0,1,0,1,1,1,5,4,3
2022,8.277248864,2,22,2,1,0,0,1,3,1,1.0,0,5,3,4,8.277248864,2,22,2,1,0,0,1,1,1,2,5,4,3
2022,8.277248864,2,22,2,1,0,1,0,2,1,1.0,0,4,3,3,8.277248864,2,22,2,1,0,1,0,1,1,2,4,3,3
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,3,3,8.277248864,2,22,2,2,,,,1,1,2,4,3,3
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,3,3,8.277248864,2,22,2,2,,,,1,1,2,4,3,3
2022,8.277248864,2,22,2,1,0,1,0,2,1,1.0,0,4,4,3,8.277248864,2,22,2,1,0,1,0,1,1,2,4,3,4
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,3,4,3,8.277248864,2,22,2,2,,,,1,1,2,3,3,4
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,4,4,8.277248864,2,22,2,2,,,,1,1,2,4,4,4
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,4,3,4,8.277248864,2,22,2,2,,,,1,1,2,4,4,3
2022,8.277248864,2,22,2,0,0,0,0,0,1,1.0,0,3,3,4,8.277248864,2,22,2,2,,,,1,1,2,3,4,3
2022,8.182399173,2,22,2,0,0,0,0,0,1,1.0,0,4,4,4,8.182399173,2,22,2,2,,,,1,1,2,4,4,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,3,2,2,8.182399173,2,22,2,1,0,1,0,1,1,2,3,2,2
2022,8.182399173,2,22,2,1,0,0,1,3,4,10.0,0,1,1,1,8.182399173,2,22,2,1,0,0,1,10,4,2,1,1,1
2022,8.182399173,2,22,2,0,0,0,0,0,1,1.0,0,4,4,4,8.182399173,2,22,2,2,,,,1,1,2,4,4,4
2022,8.182399173,2,22,2,1,0,0,1,3,1,1.0,0,3,4,3,8.182399173,2,22,2,1,0,0,1,1,1,3,3,3,4
2022,8.182399173,2,22,2,1,0,0,1,3,1,1.0,0,4,3,4,8.182399173,2,22,2,1,0,0,1,1,1,2,4,4,3
2022,8.182399173,2,22,2,0,0,0,0,0,1,1.0,0,4,3,3,8.182399173,2,22,2,2,,,,1,1,2,4,3,3
2022,8.182399173,2,22,2,0,0,0,0,0,1,1.0,0,4,4,3,8.182399173,2,22,2,2,,,,1,1,2,4,3,4
2022,8.182399173,2,22,2,1,0,0,1,3,1,1.0,0,3,4,3,8.182399173,2,22,2,1,0,0,1,1,1,2,3,3,4
2022,8.182399173,2,22,2,0,0,0,0,0,1,1.0,0,3,3,3,8.182399173,2,22,2,2,,,,1,1,2,3,3,3
2022,8.182399173,2,22,2,1,1,0,1,4,2,3.0,0,4,4,4,8.182399173,2,22,2,1,1,0,1,3,2,2,4,4,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,3,4,3,8.182399173,2,22,2,1,0,1,0,1,1,2,3,3,4
2022,8.182399173,2,22,2,1,0,0,1,3,1,1.0,0,4,3,4,8.182399173,2,22,2,1,0,0,1,1,1,2,4,4,3
2022,10.74431278,2,22,2,0,0,0,0,0,1,1.0,0,3,3,3,10.74431278,2,22,2,2,,,,1,1,2,3,3,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,4,3,8.182399173,2,22,2,1,0,1,0,1,1,2,5,3,4
2022,8.182399173,2,22,2,1,0,0,1,3,1,1.0,0,4,3,4,8.182399173,2,22,2,1,0,0,1,1,1,2,4,4,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,4,3,8.182399173,2,22,2,1,0,1,0,1,1,2,5,3,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,4,3,4,8.182399173,2,22,2,1,0,1,0,1,1,2,4,4,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,4,3,4,8.182399173,2,22,2,1,0,1,0,1,1,2,4,4,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,4,3,8.182399173,2,22,2,1,0,1,0,1,1,2,5,3,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,4,4,8.182399173,2,22,2,1,0,1,0,1,1,2,5,4,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,4,4,2,8.182399173,2,22,2,1,0,1,0,1,1,2,4,2,4
2022,8.182399173,2,22,2,0,0,0,0,0,1,1.0,0,4,4,4,8.182399173,2,22,2,2,,,,1,1,2,4,4,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,3,4,8.182399173,2,22,2,1,0,1,0,1,1,3,5,4,3
2022,8.182399173,2,22,2,1,0,0,1,3,2,2.0,0,4,4,4,8.182399173,2,22,2,1,0,0,1,2,2,2,4,4,4
2022,8.182399173,2,22,2,0,0,0,0,0,1,1.0,0,4,4,3,8.182399173,2,22,2,2,,,,1,1,2,4,3,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,4,3,2,8.182399173,2,22,2,1,0,1,0,1,1,2,4,2,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,3,3,3,8.182399173,2,22,2,1,0,1,0,1,1,2,3,3,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,4,4,8.182399173,2,22,2,1,0,1,0,1,1,2,5,4,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,3,2,2,8.182399173,2,22,2,1,0,1,0,1,1,2,3,2,2
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,4,4,8.182399173,2,22,2,1,0,1,0,1,1,2,5,4,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,4,3,2,8.182399173,2,22,2,1,0,1,0,1,1,2,4,2,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,4,4,8.182399173,2,22,2,1,0,1,0,1,1,2,5,4,4
2022,8.182399173,2,22,2,1,1,0,0,1,1,1.0,0,3,3,3,8.182399173,2,22,2,1,1,0,0,1,1,2,3,3,3
2022,8.182399173,2,22,2,1,0,1,0,2,2,3.0,0,3,3,3,8.182399173,2,22,2,1,0,1,0,3,2,2,3,3,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,4,4,4,8.182399173,2,22,2,1,0,1,0,1,1,2,4,4,4
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,3,3,3,8.182399173,2,22,2,1,0,1,0,1,1,2,3,3,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,4,3,2,8.182399173,2,22,2,1,0,1,0,1,1,2,4,2,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,5,3,3,8.182399173,2,22,2,1,0,1,0,1,1,2,5,3,3
2022,8.182399173,2,22,2,1,0,1,0,2,1,1.0,0,3,3,3,8.182399173,2,22,2,1,0,1,0,1,1,2,3,3,3
2022,8.182399173,2,22,2,1,0,1,0,2,2,2.0,0,5,4,2,8.182399173,2,22,2,1,0,1,0,2,2,2,5,2,4
2022,8.182399173,2,22,2,0,0,0,0,0,3,5.0,0,3,3,3,8.182399173,2,22,2,2,,,,5,3,2,3,3,3
